标题	年份	类型	国家	时长	评分	人数	概括	链接
黑天鹅 Black Swan	2010	剧情/惊悚	美国	108	8.5	303134	　　纽约剧团要重拍《天鹅湖》，因前领舞Beth（薇诺娜•赖德 Winona Ryder 饰）离去，总监Thomas（文森特•卡索尔 Vincent Cassel. 饰）决定海选新领舞，且要求领舞要分饰黑天鹅与白天鹅。Nina（娜塔莉•波特曼Natalie Portman 饰）自幼练习芭蕾舞，在母亲的细心关照下，技艺出众。这次，她希望可以脱颖而出。然而，在竞争中，她发现心机颇重的Lily（米拉•库妮丝 Mila Kunis 饰）是自己的强劲对手。在选拔中，她的白天鹅表演的无可挑剔，但是黑天鹅不及Lily。她感到身心俱疲，回家还发现了背部的红斑与脚伤。她一个人找到总监，希望争取一下。总监趁机亲吻她，却被她强硬拒绝。结果，总监居然选了她。队友怀疑她靠色相上位。在酒会上，Beth甚至当众发泄。这种压力外加伤病，一直影响着她的发挥。总监启发她要释放激情，表现出黑天...	http://movie.douban.com/subject/1978709/	
贫民窟的百万富翁 Slumdog Millionaire	2008	剧情/爱情	英国 / 印度	120	8.5	307833	　　2006年，印度孟买。　　印度青年杰玛•马利克（戴夫•帕特尔饰）还差一个问题就能赢得2千万卢比。他是怎么做到的？A：他作弊；B：他幸运；C：他是天才；D：一切命中注定。　　这是《谁想成为百万富翁》电视猜谜节目的人生版。杰玛•马利克在已经赢得1千万卢比的情况下被警方以欺诈罪逮捕，严刑拷问下杰玛说出他获得1千万卢比的真相——他确实知道答案，但他只知道这些！　　出身贫民窟的杰玛年幼就生活艰苦，他与哥哥沙里姆、少女拉媞卡(芙蕾达•平托饰)三人却一起经历了几十年印度的变迁。之前每一个问题，都好像是杰玛的记忆碎片，牵动他关于亲情、爱情与人生的回忆。　　而现在，杰玛一方面要洗清自己的犯罪嫌疑，一方面要拯救与拉媞卡的爱。在金钱与爱之前，杰玛能够沉着冷静，选择出正确的答案吗？	http://movie.douban.com/subject/2209573/	
朗读者 The Reader	2008	剧情/爱情	美国 / 德国	124	8.4	213165	　　15岁的少年米夏·伯格（大卫·克劳斯 David Kross 饰）偶遇36岁的中年神秘女列车售票员汉娜（凯特·温丝莱特 Kate Winslet 饰），后来两个发展出一段秘密的情人关系。汉娜最喜欢躺在米夏怀里听米夏为他读书，她总是沉浸在那朗朗的读书声中。年轻的米夏沉溺于这种关系不能自拔的同时，却发现他自己根本不了解汉娜。忽然有一天，这个神秘女人不告而别，米夏在短暂的迷惑和悲伤之后，开始了新的生活。　　二战虽然结束了，但德国对于纳粹战犯的审判还在继续。成为法律学校的实习生的米夏，在一次旁听对纳粹战犯的审判过程中，竟然发现一个熟悉的身影。虽然已经事隔8年，但米夏还是一眼便认出那就是消失8年的汉娜。而这一次，她坐上了纳粹战犯审判法庭的被告席，这个神秘女人的往事在案件的审理过程中逐渐清晰。然而，米夏却发现了一个汉娜宁愿搭上性命也要隐藏秘密。　　汉娜最终被判终身监...	http://movie.douban.com/subject/2213597/	
巴黎，我爱你 Paris, je t&#39;aime	2006	剧情/爱情	法国 / 德国 / 列支敦士登 / 瑞士	120	8.3	106892	　　这是2006年戛纳电影节的开幕影片，众多著名导演参加了这部包含有十多个小故事的影片，其中包括科恩兄弟、杜可风等等。制片人希望通过这部众多导演参与的影片讲述发生在巴黎的几乎所有的情感。片中的十多个小故事有的看似荒诞不经、有的看似毫无头绪，但是细细品味，你会发现其中 每个导演想表达的“真理”。　　一个还算小有成就的中年男友，在路边停车时，突发感概，为什么满街上的人，只有自己形单只影？就在这时，一个女人因为低血糖晕倒了在他的车旁，热心的男人将她扶进了自己的小车后座休息，两颗孤独的心由此靠近。　　塞纳河畔，三个年轻人在调戏着路过的年轻女子。其中一个发现了就在他们旁边有一个戴头巾的漂亮女孩，女孩离开时不小心摔倒了，那个年轻人跑过去把她扶了起来。爱情在两人中间慢慢滋长。　　一间画室里，一个法国男孩对另一个男孩一见钟情，絮絮叨叨的讲着自己是如何抑制不住和他谈话，讲着自己...	http://movie.douban.com/subject/1783772/	
源代码 Source Code	2011	剧情/动作/科幻/惊悚	美国 / 加拿大	93	8.3	292967	　　在阿富汗执行任务的美国空军飞行员科特史蒂文斯上尉（杰克·吉伦哈尔 Jake Gyllenhaal 饰）突然惊醒，发现自己在一辆高速行驶的列车上，而他的身边坐着一个素不相识的女子克里斯蒂安（米歇尔·莫娜汉 Michelle Monaghan 饰）正在与自己讲话。科尔不知自己为什么会在这辆车上，而且他发现自己居然是以另一个人的身份存在，正当他迷惑不解的时候，列车上忽然发生爆炸……　　科特又一次惊醒，发现自己身处一个密闭的太空仓里，有一位女军官古德温（维拉·法米加 Vera Farmiga 饰）正在通过视频和自己对话，并要求自己报告列车上发生的事情。一头雾水的科特还没搞明白是怎么回事时，他又一次被送上那辆列车。这次之后，科特终于明白自己在执行一件任务，负责调察芝加哥火车爆炸案找到恐怖份子并查出他的下一个目标。科特被一次又一次的送上那辆高速列车，每次只有八分钟...	http://movie.douban.com/subject/3075287/	
天水围的日与夜 天水圍的日與夜	2008	剧情	香港		8.5	56923	　　天水围位于香港新界元朗区，原是一条小围村，1980年代末被港英政府发展成为以住宅为主的新市镇，但今天它的30万居民多为底层劳工（其中有诸多新移民及大陆新娘）。由于天水围发生过多起震惊港媒的伦常惨案，该地被视作“悲情市镇”，可是其中多数居民平日其实过着与其他港人并无差异的生活，相依为命的贵（鲍起静）与张家安（梁进龙）母子便是如此。　　年纪轻轻便守寡的贵14岁出来做工，先后供两个弟弟念完大学，如今他们做成富贵人，她依旧是超市女工一名，但是她并不觉上天待她刻薄，每日生活都很乐观。张家安是乖乖仔，会考完毕没找暑期工做的他多数时候会呆在家里睡觉或看电视，外出见朋友、参加活动的时间非常有限。母子一起坐下吃晚饭聊天时，说的也是该买哪家报纸一类再平常不过的话。　　与他们住在同一栋楼里的阿婆梁欢（陈丽云）是新搬来的住户，她每日过着郁郁寡欢、斤斤计较的孤独生活。凭着曾在市区...	http://movie.douban.com/subject/3077668/	
蓝白红三部曲之白 Trois couleurs: Blanc	1994	剧情/喜剧/爱情/悬疑	法国 / 波兰 / 瑞士	91	8.4	39853	　　卡罗尔（泽比纽·扎马洲斯基 Zbigniew Zamachowski饰）藏在妻子多明尼（朱丽·德尔比 Julie Delpy饰）的行李箱中，从波兰偷渡到了法国。天堂般的生活并没有如愿展开，换来的是卡罗尔心中巨大的生活压力。他甚至失去了性能力，被多明尼赶出家门。带着妻子有了外遇的惨痛心情，还有一张美发师证书。卡罗尔决心回到波兰经营事业，再卷土重来。　　历尽波折的卡罗尔终于回到自己的国土。他积极上进，忙于谋生，竟在房地产生意中打了漂亮的翻身仗，一举成为百万富翁。此时的他，以为可以让多明尼回到身边，然而妻子的拒绝却令他的自尊大为受伤。于是，卡罗尔决定用一场阴险的计谋，狠狠给妻子一个报复。然而当卡罗尔得逞后，他又能换来什么呢？	http://movie.douban.com/subject/1292049/	
盲井	2003	剧情/犯罪	中国大陆 / 德国 / 香港	92	8.6	43513	　　在私人小煤矿做工的农民唐朝阳（王双宝）和宋金明（李易祥）发家致富的招数是，先套近乎将打工无门的外地农民认作亲人带到煤矿做工，在井下工作时制造“安全事故”将“亲人”杀死，再找矿主私了。两人在火车站盯上16岁的懵懂农村少年元凤鸣（王宝强）后，故伎重操帮其办了假身份证，更名后元凤鸣“成为”宋金明的侄子。　　三人来到新一家小煤矿成为挖煤工人，元凤鸣的好学、纯朴、天真与体贴常令宋金明想起自己正在念书的娃子，生出恻隐之心迟迟不肯下手，与唐朝阳的矛盾日益激化，不久，唐朝阳给他定下最后期限。	http://movie.douban.com/subject/1307528/	
花火 HANA-BI	1997	剧情/爱情/惊悚/犯罪	日本	103	8.5	25459	　　西佳敬（北野武饰）是一名警察，几年前儿子不幸死去，现在妻子（岸本加世子饰）患白血病已到晚期。好意让他去探望妻子的搭档堀部（大杉涟饰），则在任务中严重受伤，导致下半身瘫痪，与轮椅为伴。后来西在一次逮捕行动中处理失当，又导致后辈田中（芦川诚饰）丧生。引咎辞职的他，想着供养田中的寡妻（大家由佑子饰），接近并安慰老友堀部，黑社会紧追着他索讨利息，这一切都令西感到不堪重负。他决定铤而走险，做件冒险的事情，将一切做个了结。最后，西陪妻子做一次没有归途的旅行。	http://movie.douban.com/subject/1302642/	
放大 BLOW-UP	1966	剧情/悬疑/惊悚	英国 / 意大利 / 美国	111	8.4	12947	　　真相与幻想之间的界限是什么？感官是否能助我们认识世界？影片用一个摄影师的故事，铺开了一系列哲学、心理学的问号。　　主角是摄影师托马斯(戴维·海明斯 David Hemmings饰)，某天他在公园里抓拍到年轻情侣的系列照片，出人意表的是，照片中的一个女子简(瓦妮莎·雷德格瑞夫 Vanessa Redgrave饰)竟然不惜一切代价要回她的底片。这让托马斯非常疑惑，他相信这张照片许是拍下了某些不可告人的秘密。果然，他把照片放大后，看到了一具尸体和一个拿着枪的人。　　一桩谋杀案的雏形在托马斯脑中展开。他前往公园寻到了尸体，但没有人肯相信他的推测，朋友们不愿意和他一起调查这是怎么回事。第二天，当托马斯再次来到公园，发现尸体已经消失无踪。只剩下一群人进行着一场虚拟的网球赛，打着并不存在的的网球。	http://movie.douban.com/subject/1310176/	
极地恋人 Los amantes del Círculo Polar	1998	剧情/爱情/悬疑	西班牙 / 法国	112	8.4	7751	　　女孩雅娜（纳瓦·尼姆利 Najwa Nimri 饰）自幼丧父，男孩奥图（费雷·马丁内兹 Fele Martínez 饰）父母之间的感情也以破裂告终，两个孤独的人相识在8岁的那一年。机缘巧合之下，雅娜的母亲和奥图的父亲组成了新的家庭，雅娜和奥图亦成为了兄妹。随着年岁的增长，两人的感情日益加深，终于越过了那条伦理的界限。奥图的母亲在孤独中割腕自杀，这带给了奥图毁灭性的打击，心碎的他远走他乡成为了一名飞行员，不久，伤心的雅娜也和他人组成了家庭。　　在街道上，在车流间，在天空中，两个相爱的人被命运捉弄，一次次的擦肩而过，但他们的感情却没有半分折损。数年之后，雅娜离开丈夫，来到地球的极点，她相信，在那个太阳永远不会落下的地方，她和奥图一定会再次的相遇。	http://movie.douban.com/subject/1307474/	
土拨鼠之日 Groundhog Day	1993	剧情/喜剧/爱情/奇幻	美国	101	8.5	34487	　　菲尔（Bill Murray饰）是个气象播报员，每天除了在摄像机前给观众做风趣幽默的天气预报外，每年的2月2日他还要前往一个名为普苏塔尼的边境小镇，报导当地的土拨鼠日庆典。　　事实上，菲尔对这一节日相当嗤之以鼻并开始对工作感到厌倦，当他例行公事完成今年的报导后，便急不可待地想重返家园，却因为一场突如其来的暴风雪耽搁了。　　第2天醒来后，菲尔意外地发现时间仍然停留在前一天土拨鼠日，昨日的一切重新上演。惊讶、不信、刺激、狂喜、烦闷、焦虑、不安、绝望、倦怠等各种情绪轮流侵占菲尔的感官领域，可无论他如何选择度过这一天，他都始终无法再前进一步，开始了他重复的人生。	http://movie.douban.com/subject/1300613/	
狗脸的岁月 Mitt liv som hund	1985	剧情/喜剧	瑞典	101	8.5	7760	　　20世纪50年代，小男孩英格玛（Anton Glanzelius 饰）和体弱多病的妈妈（Anki Lidén 饰）、经常欺负自己的哥哥以及心爱的小狗，住在瑞典某个平静的小镇上。他的父亲离家而去，母亲又长年为疾病所困扰。两个小男孩根本不能融洽相处，经常在家里打得沸反盈天。 不堪其扰的母亲决定将他们分别送到亲戚家寄养。如小狗一样被赶出家的英格玛，却由此见到了另一片广阔的天空……　　本片荣获1987年丹麦影评人奖最佳欧洲影片奖、1988年波士顿影评人社团奖最佳外语片奖、1988年金球奖最佳外语片奖、1987年西雅图国际电影节最佳影片奖、1986年瑞典金像奖最佳男主角（Anton Glanzelius）和最佳影片。	http://movie.douban.com/subject/1291976/	
